# probe_name     : rest
# profile        : max-debug
# profile_type   : debug
# arm            : right
# kind           : baseline
# recorded_utc   : 2026-08-08T06:41:14.372Z
# duration_s     : 5.000
# sample_rate_hz : 1000
# n_samples      : 5000
# channels       : ulnar, median, radial
# value_range    : -1..+1  (Companion raw SNC)
# notes          : session baseline (recorded via header button)
# effort         : easy
# fatigue        : none
# schema         : armband/probe/1
t_ms,ulnar,median,radial
423,-0.14325,-0.20621,-0.25876
424,-0.17014,-0.20819,-0.19208
425,-0.12619,-0.13409,-0.07053
426,-0.05118,-0.05240,0.05499
427,0.00955,-0.01483,0.13293
428,0.02802,-0.02484,0.13824
429,0.00491,-0.04916,0.08731
430,-0.03494,-0.05328,0.02768
431,-0.05963,-0.02759,0.00455
432,-0.04987,0.01376,0.02783
433,-0.00940,0.05188,0.06696
434,0.03989,0.07895,0.07889
435,0.07419,0.09830,0.04626
436,0.08362,0.11316,-0.00729
437,0.07623,0.11838,-0.03760
438,0.06903,0.10373,-0.01773
439,0.07300,0.06558,0.03937
440,0.08478,0.01569,0.09128
441,0.09061,-0.02231,0.09918
442,0.07935,-0.02768,0.05725
443,0.05341,0.00134,-0.00412
444,0.02783,0.04370,-0.04050
445,0.01788,0.06860,-0.02432
446,0.02615,0.05841,0.03677
447,0.04132,0.02353,0.10593
448,0.04916,-0.00424,0.14172
449,0.04510,0.00247,0.12552
450,0.03555,0.04175,0.07178
451,0.02795,0.08093,0.01483
452,0.02142,0.08258,-0.01755
453,0.00986,0.03745,-0.02216
454,-0.00571,-0.02499,-0.01627
455,-0.01141,-0.05850,-0.01678
456,0.00821,-0.03754,-0.02451
457,0.04922,0.02170,-0.02805
458,0.08063,0.07239,-0.02194
459,0.06335,0.07028,-0.01749
460,-0.01511,0.00345,-0.03180
461,-0.12106,-0.10065,-0.06540
462,-0.19183,-0.19122,-0.09320
463,-0.18030,-0.22208,-0.08246
464,-0.09088,-0.17661,-0.02380
465,0.02414,-0.07776,0.05499
466,0.10440,0.02435,0.10831
467,0.12241,0.08215,0.10922
468,0.09219,0.07928,0.06909
469,0.04428,0.03754,0.02277
470,-0.00253,-0.00406,-0.00482
471,-0.04431,-0.01840,-0.01663
472,-0.07425,-0.00293,-0.02945
473,-0.07263,0.03079,-0.04657
474,-0.02328,0.07257,-0.04968
475,0.05893,0.11462,-0.02213
476,0.12476,0.14078,0.02310
477,0.12463,0.12598,0.04498
478,0.05313,0.05753,0.01196
479,-0.04007,-0.04059,-0.06058
480,-0.08743,-0.11194,-0.11478
481,-0.05774,-0.10776,-0.09909
482,0.02078,-0.03030,-0.01740
483,0.08838,0.06390,0.07126
484,0.10483,0.10992,0.10471
485,0.07895,0.08951,0.07263
486,0.05310,0.04419,0.02063
487,0.06155,0.03253,-0.00021
488,0.10065,0.07187,0.01349
489,0.13535,0.12015,0.01508
490,0.13229,0.11600,-0.03989
491,0.08942,0.03934,-0.14038
492,0.03696,-0.06439,-0.21918
493,0.01147,-0.11951,-0.20908
494,0.02661,-0.08221,-0.10376
495,0.06570,0.02588,0.03168
496,0.10034,0.13907,0.11069
497,0.11523,0.19943,0.09146
498,0.11505,0.19193,0.00452
499,0.10883,0.13748,-0.07651
500,0.09186,0.06229,-0.09192
501,0.04803,-0.02133,-0.03372
502,-0.02698,-0.10641,0.05975
503,-0.10757,-0.17276,0.13855
504,-0.14969,-0.18680,0.17270
505,-0.12643,-0.12650,0.15976
506,-0.05484,-0.00873,0.11383
507,0.01541,0.11078,0.05380
508,0.04230,0.17117,0.00073
509,0.02338,0.14911,-0.02420
510,-0.01025,0.07458,-0.00989
511,-0.02774,0.00647,0.03198
512,-0.02390,-0.01254,0.06934
513,-0.01303,0.01538,0.07388
514,-0.00507,0.05246,0.04684
515,0.00479,0.06042,0.01767
516,0.02148,0.02893,0.01068
517,0.03235,-0.02475,0.01318
518,0.01312,-0.07651,-0.01526
519,-0.04382,-0.11050,-0.09363
520,-0.10870,-0.11551,-0.18069
521,-0.12982,-0.07669,-0.19675
522,-0.07657,0.01480,-0.09833
523,0.02722,0.13608,0.06418
524,0.11301,0.22272,0.17194
525,0.11786,0.20258,0.13531
526,0.03522,0.05725,-0.02258
527,-0.07635,-0.14514,-0.17828
528,-0.13724,-0.28738,-0.21133
529,-0.11050,-0.29047,-0.10699
530,-0.03113,-0.17480,0.03534
531,0.02734,-0.03833,0.09402
532,0.02176,0.02975,0.03156
533,-0.01923,0.01801,-0.07980
534,-0.02490,-0.01865,-0.13098
535,0.04120,-0.03134,-0.07669
536,0.13324,-0.03113,0.02765
537,0.15759,-0.06912,0.08035
538,0.06265,-0.16797,0.02637
539,-0.10297,-0.28207,-0.09460
540,-0.22586,-0.33115,-0.18283
541,-0.22702,-0.27280,-0.16241
542,-0.13028,-0.14072,-0.04166
543,-0.03491,-0.01340,0.09744
544,-0.02185,0.05087,0.16696
545,-0.08517,0.04932,0.13885
546,-0.14957,0.01672,0.05713
547,-0.14749,-0.01462,-0.00668
548,-0.07721,-0.03387,-0.01147
549,0.00821,-0.04111,0.02948
550,0.05719,-0.03342,0.07080
551,0.06018,-0.00928,0.07550
552,0.04092,0.01923,0.03772
553,0.02100,0.02945,-0.02368
554,0.00116,0.00986,-0.08450
555,-0.02444,-0.02319,-0.12692
556,-0.04587,-0.03564,-0.13892
557,-0.03796,-0.00552,-0.11246
558,0.01358,0.05716,-0.04840
559,0.08975,0.11945,0.03690
560,0.14581,0.15195,0.11453
561,0.14520,0.14728,0.15659
562,0.08865,0.11636,0.15091
563,0.01227,0.07343,0.10593
564,-0.04169,0.02750,0.04315
565,-0.05353,-0.01523,-0.01428
566,-0.03143,-0.04669,-0.05038
567,0.00562,-0.05969,-0.05893
568,0.04568,-0.05490,-0.04340
569,0.08597,-0.04315,-0.01450
570,0.12228,-0.03806,0.01370
571,0.14291,-0.04498,0.02905
572,0.13528,-0.05624,0.02533
573,0.09793,-0.05771,0.00348
574,0.04382,-0.04218,-0.02997
575,-0.00989,-0.01788,-0.06555
576,-0.05359,-0.00421,-0.09290
577,-0.08688,-0.01578,-0.10278
578,-0.10889,-0.04739,-0.08942
579,-0.11093,-0.07385,-0.05203
580,-0.08228,-0.06784,0.00345
581,-0.02597,-0.02286,0.06305
582,0.03253,0.03787,0.10550
